Co Code,Batch ID,File #,Rate Code,Temp Dept,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount,Special Proc Code,Other Begin Date,Other End Date
,Legion,109748,2,,,,P,2,,,,, ,,
,Legion,228315,,,26.91,,,,,,,, ,,
,Legion,228315,,,,,H,8,,,,, ,,
,Legion,228315,,,,,RPT,4.91,,,,, ,,
,Legion,500303,,,36,,,,,,,, ,,
,Legion,500303,,,,7.15,,,,,,, ,,
,Legion,500303,,,,,H,4,,,,, ,,
,Legion,509887,,,0.16,,,,,,,, ,,
,Legion,509887,,,,,RPT,2.83,,,,, ,,
,Legion,520658,,,18,,,,,,,, ,,
,Legion,552780,,,14,,,,,,,, ,,
,Legion,567178,,,20,,,,,,,, ,,
,Legion,577493,,,6.66,,,,,,,, ,,
,Legion,577493,,,,4,,,,,,, ,,
,Legion,577493,,,,,RPT,2.83,,,,, ,,
,Legion,590977,,,27,,,,,,,, ,,
,Legion,591418,,,40,,,,,,,, ,,
,Legion,591418,,,,9.66,,,,,,, ,,
,Legion,596174,,,48.83,,,,,,,, ,,
,Legion,625206,,,10,,,,,,,, ,,
,Legion,6999903,,,,,V,8,,,,, ,,
,Legion,702250,,,22,,,,,,,, ,,
,Legion,702250,,,,8,,,,,,, ,,
,Legion,702250,,,,,18,5,,,,, ,,
,Legion,702250,,,,,RP,7,,,,, ,,
,Legion,702250,,,,,RPT,2,,,,, ,,
,Legion,702250,,,,,MP,1,,,,, ,,
,Legion,705581,,,42,,,,,,,, ,,
,Legion,705581,,,,12.91,,,,,,, ,,
,Legion,705581,,,,,RPT,6.08,,,,, ,,
,Legion,719874,,,80,,,,,,,, ,,
,Legion,719874,,,,20,,,,,,, ,,
,Legion,719874,,,,,RPT,2,,,,, ,,
,Legion,721962,,,3.5,,,,,,,, ,,
,Legion,730277,,,40,,,,,,,, ,,
,Legion,730277,,,,10,,,,,,, ,,
,Legion,730277,,,,,RPT,2,,,,, ,,
,Legion,731073,,,80.0,,,,,,,, ,,
,Legion,731073,,,,23,,,,,,, ,,
,Legion,752374,,,25.41,,,,,,,, ,,
,Legion,752374,,,,7.33,,,,,,, ,,
,Legion,752374,,,,,RPT,0.08,,,,, ,,
,Legion,752705,,,7.5,,,,,,,, ,,
,Legion,756000,,,7,,,,,,,, ,,
,Legion,756454,,,14,,,,,,,, ,,
,Legion,757877,,,38,,,,,,,, ,,
,Legion,757877,,,,4,,,,,,, ,,
,Legion,765154,,,,8,,,,,,, ,,
,Legion,765154,,,,,MP,6,,,,, ,,
,Legion,765154,,,,,RP,6,,,,, ,,
,Legion,765154,,,31,,,,,,,, ,,
,Legion,772335,,,43.16,,,,,,,, ,,
,Legion,772335,,,,,RPT,15.83,,,,, ,,
,Legion,777181,,,14,,,,,,,, ,,
,Legion,780941,,,7,,,,,,,, ,,
,Legion,780941,,,,,H,3.5,,,,, ,,
,Legion,780941,,,,,RPT,2,,,,, ,,
,Legion,782292,,,12,,,,,,,, ,,
,Legion,782292,,,,,EP,8,,,,, ,,
,Legion,786164,,,,2,,,,,,, ,,
,Legion,786164,,,,,RPT,1,,,,, ,,
,Legion,786572,,,3,,,,,,,, ,,
,Legion,795072,,,,,S,0.01,,,,, ,,
,Legion,802222,,,37,,,,,,,, ,,
,Legion,802222,,,,5,,,,,,, ,,
,Legion,802222,,,,,10,3,,,,, ,,
,Legion,805441,,,38,,,,,,,, ,,
,Legion,807925,,,12,,,,,,,, ,,
,Legion,810663,,,40,,,,,,,, ,,
,Legion,810663,,,,12,,,,,,, ,,
,Legion,811552,,,16.5,,,,,,,, ,,
,Legion,814853,,,,,EP,2,,,,, ,,
,Legion,814853,,,,,RPT,2,,,,, ,,
,Legion,814853,,,40,,,,,,,, ,,
,Legion,814853,,,,10,,,,,,, ,,
,Legion,819309,,,79,,,,,,,, ,,
,Legion,819309,,,,22,,,,,,, ,,
,Legion,819309,,,,,RPT,2,,,,, ,,
,Legion,824720,,,5,,,,,,,, ,,
,Legion,824792,,,12,,,,,,,, ,,
,Legion,824792,,,,1,,,,,,, ,,
,Legion,824792,,,,,RP,0.5,,,,, ,,
,Legion,826304,,,11,,,,,,,, ,,
,Legion,826304,,,,,PDP,2,,,,, ,,
,Legion,826304,,,,,RTR,40,,,,, ,,
,Legion,828661,,,40,,,,,,,, ,,
,Legion,828661,,,,14.48,,,,,,, ,,
,Legion,832495,,,40,,,,,,,, ,,
,Legion,832495,,,,12,,,,,,, ,,
,Legion,833176,,,11,,,,,,,, ,,
,Legion,833321,,410,2,,,,,,,, ,,
,Legion,833321,,410,,,RPT,1,,,,, ,,
,Legion,833321,,,,,H,6,,,,, ,,
,Legion,835486,,,21,,,,,,,, ,,
