Co Code,Batch ID,File #,Rate Code,Temp Dept,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount,Special Proc Code,Other Begin Date,Other End Date
795505,,,8,E999,Regular,
795505,,,8,E999,Regular,
795505,,,8,E999,Regular,
795505,,,8,E999,Regular,
795505,,,8,E999,Regular,
743034,,,3,E999,Other Pay,
743034,,,4,E999,Other Pay,
743034,,,3,E999,Other Pay,
743034,,,4,E999,Other Pay,
743034,,,4,E999,Other Pay,
798924,,,7.08,E999,Regular,
798924,,,7.15,E999,Regular,
798924,,,7.33,E999,Regular,
214656,,,8,E999,Regular,
214656,,,8,E999,Regular,
214656,,,8,E999,Time Off,
214656,,,8,E999,Time Off,
214656,,,8,E999,Time Off,
